sort_id,GDP_per_capita_PPP2005,anthropogenic_biome_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,pfertilizer_global_2,human_footprint_3,rev_travel_time_to_cities_min,sum,sum_organic,sum_inorganic,sum_phosphotransferase,sum_transporters,sum_two_component,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters,travel_time_to_cities_min
SRR10360626,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-16.07351916,-1.486713939,-2.548751544,-0.969936099,-7.684653074,-3.383464508,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360627,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.50378665,-1.076302903,-2.267825003,-0.842518935,-6.989885122,-3.327254681,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360628,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.33679272,-1.460097119,-1.957366517,-0.687070672,-6.878390889,-3.353867527,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360629,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-14.33254665,-1.038219092,-2.587924772,-0.899347198,-6.317352874,-3.48970271,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360630,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.07779693,-0.869716297,-2.590986744,-0.673312849,-6.38690111,-2.556879931,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360631,55768.4375,51,0.238730907,11,1,0.048160318,0.273999989,2.913295507,-20.2465992,-13.08562047,-0.305390367,-3.010220673,-0.633218666,-6.505442575,-2.631348186,-3.227890459,-0.499732244,-0.548888785,-0.615360233,-0.408122967,-1.155786232,20.2465992
SRR10360632,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-11.34493056,-1.228552489,-2.503452532,-0.663711133,-3.936712673,-3.012501734,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360633,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-10.58195673,-1.937807908,-2.173785183,-0.816960106,-2.839261832,-2.814141696,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360634,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-12.16938644,-1.590646186,-2.348697605,-0.683399348,-4.845886874,-2.700756431,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360635,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-12.9230142,-2.019272453,-2.445351223,-0.638028911,-4.942433339,-2.877928273,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360636,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-10.77878144,-1.287591023,-2.373655837,-0.730794953,-3.471213695,-2.915525936,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360637,55768.4375,52,0.544150054,6,1,0.044659976,0.052999999,1,-49.19573593,-15.04316126,-1.899556783,-2.606899063,-1.004120793,-6.259089096,-3.273495524,-3.391733919,-0.512088027,-0.507120195,-0.603144159,-0.378014451,-1.391367087,49.19573593
SRR10360638,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-12.63664678,-1.290847553,-2.627574452,-0.777893528,-4.91051508,-3.02981617,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360639,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-1.565704589,-0.833814499,-1.220547565,-0.5201949,2.033222162,-1.024369788,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360640,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-2.870233673,-1.770954941,-1.841506485,-0.704567408,3.622363367,-2.175568206,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360641,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-7.791668041,-1.636459469,-2.025198828,-0.680472504,-1.810577887,-1.638959353,NA,NA,NA,NA,NA,NA,40.39749908
SRR10360642,55768.4375,52,0.7486673,10,1,0.041299235,NA,1,-40.39749908,-3.323919452,0.557129171,-1.858458308,-0.551126883,-0.782952368,-0.688511064,NA,NA,NA,NA,NA,NA,40.39749908
